"ReferenceID","Authors","Year","Title","Details"
"Neu-Ref-620","Navás, L.","1914","Notes sur quelques Névroptères du Congo Belge [I].","Revue de Zoologie Africaines, Bruxelles 3:365-377."
"Neu-Ref-621","Navás, L.","1914","Notes sur quelques Névroptères du Congo Belge II.","Revue de Zoologie Africaines, Bruxelles 4:91-100."
"Neu-Ref-624","Navás, L.","1914","Quelques Névroptères recueillis par le Dr. Malcolm Burr en Transcaucasie.","??????? ???????????????? ????????? [=Russkoe Entomologicheskoe Obozrenie; =Revue Russe d'Entomologie] 14:211-216."
"Neu-Ref-626","Navás, L.","1914","Voyage de Ch. Alluaud et R. Jeannel en Afrique Orientale (1911-1912). Résultats scientifiques. Insectes Névroptères. I. Planipennia et Mecoptera. Paris.",
"Neu-Ref-631","Navás, L.","1914","Myrméléonides (Ins. Névr.) nouveaux de Syrie.","Bulletin du Muséum National d'Histoire Naturelle, Paris (1)20:116-120."
"Neu-Ref-384","McLachlan, R.","1891","An asiatic Psychopsis (Ps. birmana, n. sp.).","Entomologist's Monthly Magazine 27:320-321."
"Neu-Ref-385","McLachlan, R.","1891","Descriptions of new species of holophthalmous Ascalaphidae.","Transactions of the [Royal] Entomological Society of London 39[=1891]:509-515."
"Neu-Ref-386","McLachlan, R.","1892","Supplementary note on the Neuroptera of the Hawaiian Islands.","Annals and Magazine of Natural History (6)10:176-179."
"Neu-Ref-387","McLachlan, R.","1893","On species of Chrysopa observed in the eastern Pyrenees; together with descriptions of, and notes on, new or little-known Palaearctic forms of the genus.","Transactions of the [Royal] Entomological Society of London 41[=1893]:227-234."
"Neu-Ref-388","McLachlan, R.","1898","Descriptions de deux espèces nouvelles de Némoptères du genre Croce McLach. [Névr.].","Bulletin de la Société Entomologique de France 1898:169-171."
"Neu-Ref-389","McLachlan, R.","1898","Neuroptera-Planipennia collected in Algeria by the Rev. A. E. Eaton.","Transactions of the [Royal] Entomological Society of London 46[=1898]:151-168."
"Neu-Ref-392","McLachlan, R.","1902","A second African species of Psychopsis: Ps. marshalli, McLach.","Entomologist's Monthly Magazine 38:234-235."
"Neu-Ref-395","van der Weele, H. W.","1903","Description of a new genus and species of holophthalmous Ascalaphidae.","Notes from the Leyden Museum 23:234-236."
"Neu-Ref-397","van der Weele, H. W.","1904","New and little-known Neuroptera.","Notes from the Leyden Museum 24:203-215."
"Neu-Ref-399","van der Weele, H. W.","1905","Eine neue Ancylopteryx-Art aus Liberia.","Notes from the Leyden Museum 25:166-168."
"Neu-Ref-400","van der Weele, H. W.","1906","Erster nachtrag zu meiner uebersicht der sialiden des Indo-Malayischen archipels.","Notes from the Leyden Museum 28:141-145."
"Neu-Ref-402","van der Weele, H. W.","1906-1907","Über die von Prof. Dr. Y. Sjöstedt auf seiner Reise in Kamerun gesammelten Planipennia.","Arkiv för Zoologi 3(2):1-14."
"Neu-Ref-403","van der Weele, H. W.","1906","Uebersicht der Sialiden des Indo-Malayischen Archipels.","Notes from the Leyden Museum 26:207-222."
"Neu-Ref-405","van der Weele, H. W.","1907","Eine neue Myrmeleonide aus Kamerun.","Notes from the Leyden Museum 28:158-160."
"Neu-Ref-406","van der Weele, H. W.","1907","Les Myrméléonides de Madagascar.","Bulletin Scientifique [or Biologique] de la France et de la Belgique 41:249-278."
