"ID","AcceptedTaxonID","Genus","SubGenusName","SpeciesEpithet","AuthorString","InfraSpeciesEpithet","InfraSpeciesMarker","InfraSpeciesAuthorString","GSDNameStatus","Sp2000NameStatus","GSDNameGUID"
"Neu-Syn-1562,"Neu-7693","Chrysopa",,"tenella",,"continua","var.","Navás, 1919","","Synonym",""
"Neu-Syn-1572,"Neu-7693","Chrysopa",,"tenella",,"comana","var.","Navás, 1919","","Synonym",""
"Neu-Syn-1582,"Neu-7693","Chrysopa",,"tenella",,"sacresti","var.","Navás, 1928","","Synonym",""
"Neu-Syn-1592,"Neu-16725","Chrysopa",,"faceta",,"tenera","var.","Navás, 1912","","Synonym",""
"Neu-Syn-1602,"Neu-4370","Chrysopa",,"delmasi",,"densata","var.","Navás, 1927","","Synonym",""
"Neu-Syn-1612,"Neu-6493","Chrysopa",,"clathrata",,"norimina","var.","Navás, 1915","","Synonym",""
"Neu-Syn-1622,"Neu-711","Chrysopa",,"flavifrons",,"vulnerata","var.","Navás, 1917","","Synonym",""
"Neu-Syn-1632,"Neu-711","Chrysopa",,"flavifrons",,"inclyta","var.","Navás, 1918","","Synonym",""
"Neu-Syn-1642,"Neu-711","Chrysopa",,"flavifrons",,"arnaloti","var.","Navás, 1919","","Synonym",""
"Neu-Syn-1652,"Neu-711","Chrysopa",,"flavifrons",,"antennalis","var.","Navás, 1916","","Synonym",""
"Neu-Syn-1662,"Neu-711","Chrysopa",,"flavifrons",,"neerlandica","var.","Navás, 1933","","Synonym",""
"Neu-Syn-1672,"Neu-711","Chrysopa",,"flavifrons",,"carrobei","var.","Navás, 1915","","Synonym",""
"Neu-Syn-1682,"Neu-711","Chrysopa",,"flavifrons",,"exornata","var.","Navás, 1915","","Synonym",""
"Neu-Syn-1692,"Neu-711","Chrysopa",,"flavifrons",,"opulenta","var.","Navás, 1915","","Synonym",""
"Neu-Syn-1702,"Neu-711","Chrysopa",,"flavifrons",,"vestita","var.","Navás, 1914","","Synonym",""
"Neu-Syn-1712,"Neu-711","Chrysopa",,"flavifrons",,"superna","var.","Navás, 1914","","Synonym",""
"Neu-Syn-1232,"Neu-5670","Chrysopa",,"vulgaris",,"catalaunica","var.","Navás, 1915","","Synonym",""
"Neu-Syn-1242,"Neu-5670","Chrysopa",,"vulgaris",,"ornata","var.","Navás, 1915","","Synonym",""
"Neu-Syn-1252,"Neu-5670","Chrysopa",,"vulgaris",,"bilineata","var.","Navás, 1915","","Synonym",""
"Neu-Syn-1262,"Neu-5670","Chrysopa",,"vulgaris",,"buchi","var.","Navás, 1915","","Synonym",""
"Neu-Syn-1272,"Neu-5670","Chrysopa",,"vulgaris",,"gemella","var.","Navás, 1918","","Synonym",""
"Neu-Syn-1282,"Neu-5670","Chrysopa",,"vulgaris",,"vicina","var.","Lacroix, 1915","","Synonym",""
"Neu-Syn-1292,"Neu-5670","Chrysopa",,"vulgaris",,"accipienda","var.","Lacroix, 1915","","Synonym",""
"Neu-Syn-1302,"Neu-5670","Chrysopa",,"vulgaris",,"praetexta","var.","Lacroix, 1913","","Synonym",""
"Neu-Syn-1312,"Neu-5670","Chrysopa",,"vulgaris",,"minor","var.","Pongrácz, 1912","","Synonym",""
"Neu-Syn-1322,"Neu-5670","Chrysopa",,"vulgaris",,"notata","var.","Pongrácz, 1912","","Synonym",""
"Neu-Syn-1332,"Neu-5670","Chrysopa",,"vulgaris",,"fulviceps","var.","Pongrácz, 1912","","Synonym",""
"Neu-Syn-1342,"Neu-5670","Chrysopa",,"vulgaris",,"rufostigma","var.","Pongrácz, 1912","","Synonym",""
"Neu-Syn-1352,"Neu-5670","Chrysopa",,"kolthoffi",,"rubescens","var.","Navás, 1927","","Synonym",""
"Neu-Syn-1362,"Neu-5670","Chrysopa",,"kolthoffi",,"adaptata","var.","Navás, 1934","","Synonym",""
"Neu-Syn-1372,"Neu-3863","Chrysopa",,"kolthoffi",,"fulvata","var.","Navás, 1934","","Synonym",""
"Neu-Syn-1382,"Neu-26","Chrysopa",,"externa",,"marginata","var.","Navás, 1928","","Synonym",""
"Neu-Syn-1392,"Neu-26","Chrysopa",,"externa",,"parajoni","var.","Navás, 1925","","Synonym",""
"Neu-Syn-1402,"Neu-859","Chrysopa",,"lanata",,"platensis","var.","Navás, 1915","","Synonym",""
"Neu-Syn-1412,"Neu-859","Chrysopa",,"lanata",,"climacia","var.","Navás, 1918","","Synonym",""
"Neu-Syn-1422,"Neu-859","Chrysopa",,"lanata",,"gradata","var.","Navás, 1919","","Synonym",""
"Neu-Syn-1432,"Neu-859","Chrysopa",,"lanata",,"basalis","var.","Navás, 1920","","Synonym",""
"Neu-Syn-1442,"Neu-859","Chrysopa",,"lanata",,"unita","var.","Navás, 1919","","Synonym",""
"Neu-Syn-1452,"Neu-859","Chrysopa",,"lanata",,"lineata","var.","Navás, 1927","","Synonym",""
"Neu-Syn-1462,"Neu-859","Chrysopa",,"lanata",,"picta","var.","Navás, 1933","","Synonym",""
"Neu-Syn-1472,"Neu-9492","Chrysopa",,"oscillans",,"zarauzi","var.","Navás, 1933","","Synonym",""
"Neu-Syn-1482,"Neu-2538","Chrysopa",,"alba",,"flaviceps","var.","Navás, 1932","","Synonym",""
"Neu-Syn-1492,"Neu-3860","Chrysopa",,"thoracica",,"cerverina","var.","Navás, 1922","","Synonym",""
"Neu-Syn-1502,"Neu-7693","Chrysopa",,"tenella",,"aranensis","var.","Navás, 1915","","Synonym",""
"Neu-Syn-1512,"Neu-7693","Chrysopa",,"tenella",,"numerosa","var.","Navás, 1915","","Synonym",""
"Neu-Syn-1522,"Neu-7693","Chrysopa",,"tenella",,"virens","var.","Navás, 1915","","Synonym",""
"Neu-Syn-1532,"Neu-7693","Chrysopa",,"tenella",,"decora","var.","Navás, 1915","","Synonym",""
"Neu-Syn-1542,"Neu-7693","Chrysopa",,"tenella",,"detersa","var.","Navás, 1917","","Synonym",""
"Neu-Syn-1552,"Neu-7693","Chrysopa",,"tenella",,"detersa","var.","Navás, 1918","","Synonym",""
"Neu-Syn-1722,"Neu-711","Chrysopa",,"flavifrons",,"justa","var.","Navás, 1915","","Synonym",""
"Neu-Syn-1732,"Neu-711","Chrysopa",,"flavifrons",,"vulnerata","var.","Navás, 1916","","Synonym",""
"Neu-Syn-1742,"Neu-711","Chrysopa",,"flavifrons",,"difformis","var.","Lacroix, 1912","","Synonym",""
"Neu-Syn-1752,"Neu-711","Chrysopa",,"flavifrons",,"decoratissima","var.","Lacroix, 1916","","Synonym",""
"Neu-Syn-1762,"Neu-2898","Chrysopa",,"genei",,"syriaca","var.","Navás, 1920","","Synonym",""
"Neu-Syn-1772,"Neu-2335","Chrysopa",,"granadensis",,"tergata","var.","Navás, 1918","","Synonym",""
"Neu-Syn-1782,"Neu-2335","Chrysopa",,"granatensis",,"edoana","var.","Navás, 1919","","Synonym",""
"Neu-Syn-1792,"Neu-2335","Chrysopa",,"granadensis",,"pyrenaica","var.","Navás, 1915","","Synonym",""
"Neu-Syn-1802,"Neu-215","Chrysopa",,"iberica",,"asticta","var.","Navás, 1906","","Synonym",""
"Neu-Syn-1812,"Neu-215","Chrysopa",,"iberica",,"polysticta","var.","Navás, 1917","","Synonym",""
"Neu-Syn-1822,"Neu-2851","Chrysopa",,"inornata",,"navasi","var.","Lacroix, 1916","","Synonym",""
"Neu-Syn-1832,"Neu-5131","Chrysopa",,"inornata",,"gradiformis","var.","Lacroix, 1915","","Synonym",""
"Neu-Syn-1842,"Neu-5131","Chrysopa",,"inornata",,"devia","var.","Lacroix, 1916","","Synonym",""
"Neu-Syn-1852,"Neu-2970","Chrysopa",,"herasi",,"oppleta","var.","Navás, 1923","","Synonym",""
"Neu-Syn-1862,"Neu-2512","Chrysopa",,"prasina",,"didyma","var.","Navás, 1901","","Synonym",""
"Neu-Syn-1872,"Neu-2512","Chrysopa",,"prasina",,"degradata","var.","Navás, 1906","","Synonym",""
"Neu-Syn-1882,"Neu-2512","Chrysopa",,"prasina",,"modesta","var.","Navás, 1906","","Synonym",""
"Neu-Syn-1892,"Neu-2512","Chrysopa",,"prasina",,"disticta","var.","Navás, 1907","","Synonym",""
"Neu-Syn-1902,"Neu-2512","Chrysopa",,"prasina",,"luxurians","var.","Navás, 1909","","Synonym",""
"Neu-Syn-1912,"Neu-2512","Chrysopa",,"prasina",,"notha","var.","Navás, 1909","","Synonym",""
"Neu-Syn-1922,"Neu-2512","Chrysopa",,"prasina",,"nigrescens","var.","Navás, 1909","","Synonym",""
"Neu-Syn-1932,"Neu-2512","Chrysopa",,"prasina",,"striata","var.","Navás, 1901","","Synonym",""
