"ID","AcceptedTaxonID","Genus","SubGenusName","SpeciesEpithet","AuthorString","InfraSpeciesEpithet","InfraSpeciesMarker","InfraSpeciesAuthorString","GSDNameStatus","Sp2000NameStatus","GSDNameGUID"
"Neu-Syn-1942,"Neu-2512","Chrysopa",,"prasina",,"punctigera","var.","Sélys-Longchamps, 1888","","Synonym",""
"Neu-Syn-1952,"Neu-2512","Chrysopa",,"prasina",,"respersa","var.","Navás, 1911","","Synonym",""
"Neu-Syn-1962,"Neu-2512","Chrysopa",,"prasina",,"amabilis","var.","Navás, 1911","","Synonym",""
"Neu-Syn-1972,"Neu-2512","Chrysopa",,"prasina",,"abluta","var.","Navás, 1917","","Synonym",""
"Neu-Syn-1982,"Neu-2512","Chrysopa",,"prasina",,"abluta","var.","Navás, 1918","","Synonym",""
"Neu-Syn-1992,"Neu-2512","Chrysopa",,"prasina",,"selysi","var.","Navás, 1919","","Synonym",""
"Neu-Syn-2002,"Neu-2512","Chrysopa",,"prasina",,"villosa","var.","Navás, 1919","","Synonym",""
"Neu-Syn-2012,"Neu-2512","Chrysopa",,"prasina",,"patricia","var.","Navás, 1919","","Synonym",""
"Neu-Syn-2022,"Neu-2512","Chrysopa",,"prasina",,"verticalis","var.","Navás, 1921","","Synonym",""
"Neu-Syn-2032,"Neu-2512","Chrysopa",,"prasina",,"virginea","var.","Navás, 1921","","Synonym",""
"Neu-Syn-2042,"Neu-2512","Chrysopa",,"prasina",,"bielensis","var.","Navás, 1930","","Synonym",""
"Neu-Syn-2052,"Neu-2512","Chrysopa",,"prasina",,"coronata","var.","Navás, 1915","","Synonym",""
"Neu-Syn-2062,"Neu-2512","Chrysopa",,"prasina",,"salvadori","var.","Navás, 1915","","Synonym",""
"Neu-Syn-2072,"Neu-2512","Chrysopa",,"prasina",,"gerundensis","var.","Navás, 1915","","Synonym",""
"Neu-Syn-2082,"Neu-2512","Chrysopa",,"prasina",,"gastrica","var.","Navás, 1914","","Synonym",""
"Neu-Syn-2092,"Neu-2512","Chrysopa",,"prasina",,"guitarti","var.","Navás, 1914","","Synonym",""
"Neu-Syn-2102,"Neu-2512","Chrysopa",,"prasina",,"ditata","var.","Navás, 1915","","Synonym",""
"Neu-Syn-2112,"Neu-2512","Chrysopa",,"prasina",,"gemina","var.","Navás, 1923","","Synonym",""
"Neu-Syn-2122,"Neu-2512","Chrysopa",,"prasina",,"langloisi","var.","Navás, 1929","","Synonym",""
"Neu-Syn-2132,"Neu-2512","Chrysopa",,"prasina",,"punctigera-respersa","var.","Lacroix, 1915","","Synonym",""
"Neu-Syn-2142,"Neu-2512","Chrysopa",,"mariana",,"chlorocephala","var.","Navás, 1907","","Synonym",""
"Neu-Syn-2152,"Neu-2512","Chrysopa",,"mariana",,"stictocera","var.","Navás, 1907","","Synonym",""
"Neu-Syn-2162,"Neu-2512","Chrysopa",,"mariana",,"scalaris","var.","Navás, 1909","","Synonym",""
"Neu-Syn-2172,"Neu-2512","Chrysopa",,"mariana",,"insignata","var.","Lacroix, 1913","","Synonym",""
"Neu-Syn-2182,"Neu-2512","Chrysopa",,"mariana",,"stictocera-insignata","var.","Lacroix, 1915","","Synonym",""
"Neu-Syn-2192,"Neu-2512","Chrysopa",,"mariana",,"stictocera-scalaris","var.","Lacroix, 1915","","Synonym",""
"Neu-Syn-2202,"Neu-2512","Chrysopa",,"mariana",,"chlorocephala-scalaris","var.","Lacroix, 1915","","Synonym",""
"Neu-Syn-2212,"Neu-2512","Chrysopa",,"mariana",,"chlorocephala-insignata","var.","Lacroix, 1915","","Synonym",""
"Neu-Syn-2222,"Neu-2512","Chrysopa",,"mariana",,"chlorocephala-scalaris-insignata","var.","Lacroix, 1915","","Synonym",""
"Neu-Syn-2232,"Neu-2512","Chrysopa",,"mariana",,"dirempta","var.","Lacroix, 1917","","Synonym",""
"Neu-Syn-2242,"Neu-1725","Chrysopa",,"subcubitalis",,"sordidata","var.","Navás, 1906","","Synonym",""
"Neu-Syn-2252,"Neu-2762","Chrysopa",,"ventralis",,"pullata","var.","Navás, 1904","","Synonym",""
"Neu-Syn-2262,"Neu-2762","Chrysopa",,"ventralis",,"decora","var.","Navás, 1914","","Synonym",""
"Neu-Syn-2272,"Neu-2762","Chrysopa",,"ventralis",,"ditata","var.","Navás, 1914","","Synonym",""
"Neu-Syn-2282,"Neu-2762","Chrysopa",,"ventralis",,"jodoti","var.","Lacroix, 1912","","Synonym",""
"Neu-Syn-2292,"Neu-6348","Chrysopa",,"cubana",,"mesonota","var.","Navás, 1922","","Synonym",""
"Neu-Syn-2302,"Neu-5765","Chrysopa",,"bequaerti",,"occipitalis","var.","Navás, 1931","","Synonym",""
"Neu-Syn-2312,"Neu-5765","Chrysopa",,"bequaerti",,"rubella","var.","Navás, 1931","","Synonym",""
"Neu-Syn-2322,"Neu-5765","Chrysopa",,"bequaerti",,"insularis","var.","Navás, 1934","","Synonym",""
"Neu-Syn-2332,"Neu-5765","Chrysopa",,"bequaerti",,"lateralis","var.","Navás, 1935","","Synonym",""
"Neu-Syn-2342,"Neu-4625","Chrysopiella",,"argentina",,"acysta","var.","Navás, 1918","","Synonym",""
"Neu-Syn-2352,"Neu-4625","Chrysopiella",,"argentina",,"extranea","var.","Navás, 1918","","Synonym",""
"Neu-Syn-2362,"Neu-4625","Chrysopiella",,"argentina",,"trapezia","var.","Navás, 1918","","Synonym",""
"Neu-Syn-2372,"Neu-2538","Chrysotropia",,"melaneura",,"furcata","var.","Navás, 1916","","Synonym",""
"Neu-Syn-2382,"Neu-2538","Chrysotropia",,"melaneura",,"absona","var.","Navás, 1916","","Synonym",""
"Neu-Syn-2392,"Neu-4608","Cintameva",,"formosa",,"sobradielina","var.","Navás, 1933","","Synonym",""
"Neu-Syn-2402,"Neu-548","Cintameva",,"septempunctata",,"rubriceps","var.","Navás, 1932","","Synonym",""
"Neu-Syn-2412,"Neu-548","Cintameva",,"cognata",,"media","var.","Navás, 1929","","Synonym",""
"Neu-Syn-2422,"Neu-548","Cintameva",,"cognata",,"frontalis","var.","Navás, 1934","","Synonym",""
"Neu-Syn-2432,"Neu-3894","Cintameva",,"walkeri",,"alpina","var.","Navás, 1920","","Synonym",""
"Neu-Syn-2442,"Neu-3894","Cintameva",,"walkeri",,"caucasica","var.","Navás, 1920","","Synonym",""
"Neu-Syn-2452,"Neu-5131","Cintameva",,"inornata",,"oloronensis","var.","Navás, 1932","","Synonym",""
"Neu-Syn-2462,"Neu-5131","Cintameva",,"inornata",,"aalbeekensis","var.","Navás, 1933","","Synonym",""
"Neu-Syn-2472,"Neu-16710","Climaciella",,"habutsuella",,"maculata","var.","Stitz, 1913","","Synonym",""
"Neu-Syn-2482,"Neu-4585","Climaciella",,"habutsuella",,"fasciata","var.","Stitz, 1913","","Synonym",""
"Neu-Syn-2492,"Neu-100","Climaciella",,"rubescens",,"unicolor","var.","Stitz, 1913","","Synonym",""
"Neu-Syn-2502,"Neu-100","Climaciella",,"rubescens",,"laciniata","var.","Stitz, 1913","","Synonym",""
"Neu-Syn-112,"Neu-673","Ascalaphus",,"sibiricus",,"albidus","f.","Navás, 1913","","Synonym",""
"Neu-Syn-122,"Neu-5660","Boriomyia",,"betulina",,"melancholica","f.","Killington, 1937","","Synonym",""
"Neu-Syn-132,"Neu-5264","Boriomyia",,"subnebulosa",,"melancholica","f.","Killington, 1937","","Synonym",""
"Neu-Syn-142,"Neu-2898","Chrysopa",,"genei",,"pupilla","f.","Navás, 1919","","Synonym",""
"Neu-Syn-152,"Neu-3003","Coniopteryx",,"pygmaea",,"devia","f.","Lacroix, 1923","","Synonym",""
"Neu-Syn-162,"Neu-3003","Coniopteryx",,"pygmaea",,"explecta","f.","Lacroix, 1923","","Synonym",""
"Neu-Syn-172,"Neu-3003","Coniopteryx",,"pygmaea",,"interna","f.","Lacroix, 1923","","Synonym",""
"Neu-Syn-182,"Neu-1489","Elachyleon",,"punctipennis",,"pulchellus","f.","Esben-Petersen, 1933","","Synonym",""
"Neu-Syn-192,"Neu-228","Semidalis",,"aleyrodiformis",,"intergeriva","f.","Lacroix, 1923","","Synonym",""
"Neu-Syn-202,"Neu-7667","Acanthaclisis",,"pallida",,"rufa","var.","Navás, 1931","","Synonym",""
"Neu-Syn-212,"Neu-6430","Allochrysa",,"virginica",,"ocala","var.","Banks, 1938","","Synonym",""
"Neu-Syn-222,"Neu-4634","Ameromyia",,"stevensi",,"striolata","var.","Navás, 1924","","Synonym",""
"Neu-Syn-232,"Neu-4718","Ankylopteryx",,"nesiotica",,"tenera","var.","Navás, 1922","","Synonym",""
"Neu-Syn-242,"Neu-6292","Ankylopteryx",,"octopunctata",,"salai","var.","Navás, 1930","","Synonym",""
"Neu-Syn-252,"Neu-1314","Ankylopteryx",,"tristicta",,"insularis","var.","Navás, 1922","","Synonym",""
"Neu-Syn-262,"Neu-6787","Anomalochrysa",,"rhododora",,"xerophylla","var.","Perkins in Sharp, 1899","","Synonym",""
"Neu-Syn-302,"Neu-6483","Ascalaphus",,"hispanicus",,"fumatus","var.","Navás, 1919","","Synonym",""
"Neu-Syn-312,"Neu-6485","Ascalaphus",,"ictericus",,"atlanticus","var.","Navás, 1913","","Synonym",""
"Neu-Syn-322,"Neu-612","Ascalaphus",,"italicus",,"leucocelius","var.","A. Costa, 1855","","Synonym",""
"Neu-Syn-332,"Neu-2908","Ascalaphus",,"italicus",,"costanus","var.","Navás, 1919","","Synonym",""
"Neu-Syn-342,"Neu-4030","Ascalaphus",,"longicornis",,"dubius","var.","Eversmann, 1850","","Synonym",""
"Neu-Syn-352,"Neu-4030","Ascalaphus",,"macaronius",,"fumatus","var.","Navás, 1929","","Synonym",""
"Neu-Syn-362,"Neu-4030","Ascalaphus",,"macaronius",,"trimaculatus","var.","van der Weele, 1909","","Synonym",""
"Neu-Syn-372,"Neu-4030","Ascalaphus",,"macaronius",,"turcestanicus","var.","van der Weele, 1909","","Synonym",""
"Neu-Syn-392,"Neu-673","Ascalaphus",,"sibiricus",,"niveus","var.","Navás, 1929","","Synonym",""
"Neu-Syn-402,"Neu-4083","Ascalaphus",,"syriacus",,"luteatus","var.","Navás, 1910","","Synonym",""
"Neu-Syn-412,"Neu-4030","Ascalaphus",,"kolywanensis",,"ponticus","var.","McLachlan, 1876","","Synonym",""
"Neu-Syn-422,"Neu-5995","Austroleon",,"stictogaster",,"stigmatus","var.","Navás, 1929","","Synonym",""
"Neu-Syn-432,"Neu-5660","Boriomyia",,"nervosa",,"neurasthenica","var.","Navás, 1914","","Synonym",""
"Neu-Syn-442,"Neu-7222","Brachynemurus",,"hubbardii",,"nubeculipennis","var.","Currie, 1903","","Synonym",""
"Neu-Syn-452,"Neu-4765","Calomantispa",,"spectabilis",,"nigrata","var.","Banks, 1913","","Synonym",""
"Neu-Syn-462,"Neu-4765","Calomantispa",,"spectabilis",,"maculata","var.","Banks, 1913","","Synonym",""
"Neu-Syn-472,"Neu-694","Chrysopa",,"nigribasis",,"rectoides","var.","Banks, 1939","","Synonym",""
"Neu-Syn-482,"Neu-925","Chrysopa",,"edwardsi",,"puncticollis","var.","Banks, 1940","","Synonym",""
"Neu-Syn-492,"Neu-2238","Chrysopa",,"damiensis",,"jamaicensis","var.","Banks, 1941","","Synonym",""
"Neu-Syn-502,"Neu-6141","Chrysopa",,"abbreviata",,"neerlandica","var.","Navás, 1923","","Synonym",""
"Neu-Syn-512,"Neu-6141","Chrysopa",,"abbreviata",,"singularis","var.","Lacroix, 1917","","Synonym",""
"Neu-Syn-522,"Neu-2207","Chrysopa",,"upsilon",,"haematica","var.","Navás, 1918","","Synonym",""
"Neu-Syn-532,"Neu-4608","Chrysopa",,"formosa",,"atomaria","var.","Navás, 1908","","Synonym",""
"Neu-Syn-542,"Neu-4608","Chrysopa",,"formosa",,"laletana","var.","Navás, 1909","","Synonym",""
"Neu-Syn-552,"Neu-4608","Chrysopa",,"formosa",,"boguniana","var.","Navás, 1919","","Synonym",""
"Neu-Syn-562,"Neu-4608","Chrysopa",,"formosa",,"foedata","var.","Navás, 1919","","Synonym",""
"Neu-Syn-572,"Neu-4608","Chrysopa",,"formosa",,"bufona","var.","Navás, 1915","","Synonym",""
"Neu-Syn-582,"Neu-4608","Chrysopa",,"formosa",,"gundisalvi","var.","Navás, 1915","","Synonym",""
"Neu-Syn-592,"Neu-4608","Chrysopa",,"formosa",,"gundisavi","var.","Navás, 1914","","Synonym",""
"Neu-Syn-602,"Neu-4608","Chrysopa",,"formosa",,"gelini","var.","Lacroix, 1913","","Synonym",""
"Neu-Syn-612,"Neu-4608","Chrysopa",,"formosa",,"decempunctata","var.","Lacroix, 1913","","Synonym",""
"Neu-Syn-622,"Neu-4608","Chrysopa",,"formosa",,"frontalis","var.","Pongrácz, 1912","","Synonym",""
"Neu-Syn-632,"Neu-305","Chrysopa",,"nierembergi",,"nitens","var.","Navás, 1909","","Synonym",""
"Neu-Syn-642,"Neu-305","Chrysopa",,"nierembergi",,"andreui","var.","Navás, 1910","","Synonym",""
"Neu-Syn-652,"Neu-305","Chrysopa",,"nierembergi",,"clara","var.","Navás, 1915","","Synonym",""
"Neu-Syn-662,"Neu-2196","Chrysopa",,"nigricostata",,"marginata","var.","Navás, 1904","","Synonym",""
"Neu-Syn-672,"Neu-2196","Chrysopa",,"nigricostata",,"ataresi","var.","Navás, 1914","","Synonym",""
"Neu-Syn-682,"Neu-548","Chrysopa",,"septempunctata",,"puncticollis","var.","Navás, 1915","","Synonym",""
"Neu-Syn-692,"Neu-7798","Chrysopa",,"septempunctata",,"inpunctata","var.","Reuter, 1894","","Synonym",""
"Neu-Syn-702,"Neu-548","Chrysopa",,"septempunctata",,"montandoni","var.","Navás, 1910","","Synonym",""
"Neu-Syn-712,"Neu-548","Chrysopa",,"septempunctata",,"longicollis","var.","Navás, 1913","","Synonym",""
"Neu-Syn-722,"Neu-548","Chrysopa",,"septempunctata",,"polysticta","var.","Navás, 1915","","Synonym",""
"Neu-Syn-732,"Neu-548","Chrysopa",,"septempunctata",,"punctulata","var.","Navás, 1917","","Synonym",""
"Neu-Syn-742,"Neu-548","Chrysopa",,"septempunctata",,"hernandezi","var.","Navás, 1918","","Synonym",""
"Neu-Syn-752,"Neu-548","Chrysopa",,"septempunctata",,"punctulata","var.","Navás, 1916","","Synonym",""
"Neu-Syn-762,"Neu-548","Chrysopa",,"septempunctata",,"pazsiczkyi","var.","Pongrácz, 1912","","Synonym",""
"Neu-Syn-772,"Neu-548","Chrysopa",,"septempunctata",,"occipitalis","var.","Pongrácz, 1912","","Synonym",""
"Neu-Syn-782,"Neu-2265","Chrysopa",,"perla",,"fracta","var.","Navás, 1910","","Synonym",""
"Neu-Syn-792,"Neu-131","Chrysopa",,"perla",,"divisa","var.","Navás, 1910","","Synonym",""
"Neu-Syn-802,"Neu-131","Chrysopa",,"perla",,"nigrodorsalis","var.","Pongrácz, 1912","","Synonym",""
"Neu-Syn-812,"Neu-1472","Chrysopa",,"viridana",,"montana","var.","Navás, 1915","","Synonym",""
"Neu-Syn-822,"Neu-2610","Chrysopa",,"viridana",,"marialis","var.","Navás, 1917","","Synonym",""
"Neu-Syn-832,"Neu-2610","Chrysopa",,"viridana",,"ditata","var.","Navás, 1919","","Synonym",""
"Neu-Syn-842,"Neu-2610","Chrysopa",,"viridana",,"dives","var.","Navás, 1922","","Synonym",""
"Neu-Syn-852,"Neu-2610","Chrysopa",,"viridana",,"adaequata","var.","Navás, 1915","","Synonym",""
"Neu-Syn-862,"Neu-2610","Chrysopa",,"viridana",,"yvesi","var.","Lacroix, 1915","","Synonym",""
"Neu-Syn-872,"Neu-5670","Chrysopa",,"vulgaris",,"barnolai","var.","Navás, 1906","","Synonym",""
"Neu-Syn-882,"Neu-5670","Chrysopa",,"vulgaris",,"rubricata","var.","Navás, 1905","","Synonym",""
"Neu-Syn-892,"Neu-5670","Chrysopa",,"vulgaris",,"lulliana","var.","Navás, 1910","","Synonym",""
"Neu-Syn-902,"Neu-5670","Chrysopa",,"vulgaris",,"viridella","var.","Navás, 1911","","Synonym",""
"Neu-Syn-912,"Neu-5670","Chrysopa",,"vulgaris",,"aequata","var.","Navás, 1905","","Synonym",""
"Neu-Syn-922,"Neu-5670","Chrysopa",,"vulgaris",,"bella","var.","Navás, 1911","","Synonym",""
"Neu-Syn-932,"Neu-5670","Chrysopa",,"vulgaris",,"cingulata","var.","Navás, 1912","","Synonym",""
"Neu-Syn-942,"Neu-5670","Chrysopa",,"vulgaris",,"nigropilosa","var.","Navás, 1913","","Synonym",""
"Neu-Syn-952,"Neu-5670","Chrysopa",,"vulgaris",,"nemorosa","var.","Navás, 1913","","Synonym",""
"Neu-Syn-962,"Neu-5670","Chrysopa",,"vulgaris",,"lateralis","var.","Navás, 1913","","Synonym",""
"Neu-Syn-972,"Neu-5670","Chrysopa",,"vulgaris",,"stigmalis","var.","Navás, 1913","","Synonym",""
"Neu-Syn-982,"Neu-5670","Chrysopa",,"vulgaris",,"mista","var.","Navás, 1913","","Synonym",""
"Neu-Syn-992,"Neu-5670","Chrysopa",,"vulgaris",,"doriana","var.","Navás, 1915","","Synonym",""
"Neu-Syn-1002,"Neu-5670","Chrysopa",,"vulgaris",,"haematodes","var.","Navás, 1915","","Synonym",""
"Neu-Syn-1012,"Neu-5670","Chrysopa",,"vulgaris",,"africana","var.","Navás, 1915","","Synonym",""
"Neu-Syn-1022,"Neu-5670","Chrysopa",,"vulgaris",,"thoracica","var.","Navás, 1915","","Synonym",""
"Neu-Syn-1032,"Neu-5670","Chrysopa",,"vulgaris",,"disticha","var.","Navás, 1915","","Synonym",""
"Neu-Syn-1042,"Neu-5670","Chrysopa",,"vulgaris",,"tristicta","var.","Navás, 1915","","Synonym",""
"Neu-Syn-1052,"Neu-5670","Chrysopa",,"vulgaris",,"gemella","var.","Navás, 1917","","Synonym",""
"Neu-Syn-1062,"Neu-5670","Chrysopa",,"vulgaris",,"entoneura","var.","Navás, 1917","","Synonym",""
"Neu-Syn-1072,"Neu-5670","Chrysopa",,"vulgaris",,"festiva","var.","Navás, 1918","","Synonym",""
"Neu-Syn-1082,"Neu-5670","Chrysopa",,"vulgaris",,"inversa","var.","Navás, 1918","","Synonym",""
"Neu-Syn-1092,"Neu-5670","Chrysopa",,"vulgaris",,"stigmata","var.","Navás, 1918","","Synonym",""
"Neu-Syn-1102,"Neu-5670","Chrysopa",,"vulgaris",,"prothoracica","var.","Navás, 1919","","Synonym",""
"Neu-Syn-1112,"Neu-5670","Chrysopa",,"vulgaris",,"apostata","var.","Navás, 1919","","Synonym",""
"Neu-Syn-1122,"Neu-5670","Chrysopa",,"vulgaris",,"albidella","var.","Navás, 1919","","Synonym",""
"Neu-Syn-1132,"Neu-5670","Chrysopa",,"vulgaris",,"seriata","var.","Navás, 1919","","Synonym",""
"Neu-Syn-1142,"Neu-5670","Chrysopa",,"vulgaris",,"perezacostai","var.","Navás, 1919","","Synonym",""
"Neu-Syn-1152,"Neu-5670","Chrysopa",,"vulgaris",,"moneri","var.","Navás, 1919","","Synonym",""
"Neu-Syn-1162,"Neu-5670","Chrysopa",,"vulgaris",,"seroi","var.","Navás, 1919","","Synonym",""
