"AcceptedTaxonID","parentID","InfraSpeciesEpithet","InfraSpeciesAuthorString","InfraSpeciesMarker","GSDNameStatus","Sp2000NameStatus","IsExtinct","HasPreHolocene","HasModern","LifeZone","AdditionalData","LTSSpecialist","LTSDate","InfraSpeciesURL","GSDTaxonGUID","GSDNameGUID"
"Neu-7940","Neu-10082","chiaiensis","Ohl, 2004","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-8458","Neu-8161","angustus","Kimmins, 1942","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-9082","Neu-10064","huelvacolans","Aistleitner, 1984","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-9475","Neu-172","adryte","U. Aspöck, 1982","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-9476","Neu-172","aphyrte","U. Aspöck, 1982","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-9760","Neu-10064","reconquista","Aistleitner, 1984","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-87","Neu-6292","borneensis","van der Weele, 1909","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-93","Neu-4588","javanensis","(van der Weele, 1909)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-836","Neu-2465","sanctaeluciae","van der Weele, 1909","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-1531","Neu-1541","lucasseni","(van der Weele, 1909)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-1868","Neu-1952","tooloomensis","Theischinger, 1983","","valid","Accepted Name",0,0,1,"terrestrial, freshwater","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-2105","Neu-551","nigrostigmata","H. Aspöck et al., 1982","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-2476","Neu-2475","orientalis","Hölzel, 1978","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-3034","Neu-10064","boabdili","Aistleitner, 1984","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-3093","Neu-6292","kisserensis","van der Weele, 1909","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-3801","Neu-3800","javanica","(van der Weele, 1909)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-4081","Neu-673","chinensis","(van der Weele, 1909)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-4403","Neu-1952","incertus","Theischinger, 1983","","valid","Accepted Name",0,0,1,"terrestrial, freshwater","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-4666","Neu-4723","fenestratus","Kimmins, 1942","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-4683","Neu-2009","fumipennis","Flint, 1973","","valid","Accepted Name",0,0,1,"terrestrial, freshwater","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-4934","Neu-6835","firyuzae","Sziráki, 2000","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-4979","Neu-6298","persicus","Hölzel, 1972","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-5469","Neu-6485","cyrenaicus","H. Aspöck et al., 1976","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-5644","Neu-636","mascarenicus","(Hölzel & Ohm, 2000)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-10165","Neu-588","aganippe","(H. Aspöck & U. Aspöck, 1975)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-10274","Neu-6260","piryulini","Krivokhatsky, 2011","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16559","Neu-39","guentheri","Hölzel, 1970","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16560","Neu-68","ruficeps","(McLachlan, 1875)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16562","Neu-180","sumatrana","(Albarda, 1881)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16564","Neu-172","modesta","Carpenter, 1936","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16566","Neu-180","aequalis","(Walker, 1853)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16568","Neu-1048","plenota","(Banks, 1944)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16574","Neu-551","fulvostigmata","U. Aspöck & H. Aspöck, 1968","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16576","Neu-588","aphaphlyxte","(H. Aspöck & U. Aspöck, 1974)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16580","Neu-619","jezoensis","Okamoto, 1910","","valid","Accepted Name",0,0,1,"terrestrial, freshwater","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16581","Neu-636","duplicatus","(Navás, 1934)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16584","Neu-673","sibiricus","(Eversmann, 1850)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16585","Neu-711","flavifrons","(Brauer, 1851)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16587","Neu-726","cajennensis","(Fabricius, 1787)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16591","Neu-809","trux","(Walker, 1853)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16593","Neu-816","rhomboideus","(Schneider, 1845)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16599","Neu-935","maclachlani","Blackburn, 1884","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16602","Neu-965","indica","Westwood, 1852","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16604","Neu-1000","setulosum","(H. Aspöck & U. Aspöck, 1967)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16605","Neu-1048","lancala","(Banks, 1944)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16612","Neu-1185","japonica","McLachlan, 1875","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16617","Neu-1391","mortoni","(McLachlan, 1899)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16621","Neu-1541","splendida","(van der Weele, 1909)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16624","Neu-1648","subiratus","(Walker, 1853)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16625","Neu-1648","meridionalis","van der Weele, 1909","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16631","Neu-1767","divinum","(H. Aspöck & U. Aspöck, 1964)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16632","Neu-1767","simillimum","(H. Aspöck & U. Aspöck, 1964)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16633","Neu-965","spilonota","Banks, 1913","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16634","Neu-6298","lachlani","Navás, 1924","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16637","Neu-1952","biconicus","Kimmins, 1954","","valid","Accepted Name",0,0,1,"terrestrial, freshwater","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16638","Neu-2009","cinerascens","(Blanchard in Gay, 1851)","","valid","Accepted Name",0,0,1,"terrestrial, freshwater","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16641","Neu-6523","bolivari","(Navás, 1915)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16646","Neu-2531","sillemi","(Esben-Petersen, 1935)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16648","Neu-2384","albardae","(McLachlan, 1875)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16650","Neu-636","polyneurus","(Navás, 1940)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16653","Neu-2465","macleayanus","(Guilding, 1823)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16654","Neu-2475","walsinghami","Navás, 1914","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16655","Neu-6292","trimaculata","(Girard, 1859)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16656","Neu-2498","harmandi","(Navás, 1909)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16658","Neu-2531","zastrowi","(Esben-Petersen, 1928)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16662","Neu-2586","raphidioides","Perkins in Sharp, 1899","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16675","Neu-9329","texana","(Hagen, 1887)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16680","Neu-172","banksi","Carpenter, 1936","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16684","Neu-10082","minor","(Stitz, 1913)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16686","Neu-3299","campioni","(Navás, 1914)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16687","Neu-816","cretensis","(van der Weele, 1909)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16703","Neu-8103","trivenata","(Stitz, 1913)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16704","Neu-6292","punctata","(Hagen, 1858)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16709","Neu-3800","evanescens","(McLachlan, 1869)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16710","Neu-4585","maculata","(Stitz, 1913)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16714","Neu-9334","jakushenkoi","(Zakharenko, 1983)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16719","Neu-4085","cymbele","Banks, 1933","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16724","Neu-4085","fasciata","Nasir, 1947","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16725","Neu-1541","tenera","(Navás, 1912)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16730","Neu-2384","insignitus","Navás, 1913","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16731","Neu-6258","propinquus","(Navás, 1912)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16733","Neu-4585","luzonica","(van der Weele, 1909)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16734","Neu-4588","abnormis","(Albarda, 1881)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16738","Neu-4710","tacitus","(Walker, 1853)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16739","Neu-4723","perspicillaris","(Gerstaecker, 1885)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16741","Neu-809","loquax","(Walker, 1853)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16743","Neu-4888","albardanus","(McLachlan, 1891)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16744","Neu-4888","pterostigmatus","Martynova, 1926","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16751","Neu-5104","tenella","(Erichson, 1839)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16760","Neu-3299","insignis","(Navás, 1914)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16769","Neu-5523","insularis","Hölzel, 1991","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16771","Neu-68","fervida","(Gerstaecker, 1894)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16782","Neu-1185","diminuta","Matsumura, 1907","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16784","Neu-8455","turanicus","Navás, 1927","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16791","Neu-6179","bicolor","(Stitz, 1913)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16793","Neu-6258","microstenus","(McLachlan, 1898)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16794","Neu-6260","nemausiensis","(Borkhausen, 1791)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16795","Neu-6292","octopunctata","(Fabricius, 1793)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16796","Neu-6298","fedtschenkoi","(McLachlan in Fedchenko, 1875)","","valid, nomen protectum, a junior synonym maintained as valid under Art. 23.9.2 (reversal of precedence for certain junior synonyms)","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16797","Neu-2384","phantomus","(Gerstaecker, 1894)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16805","Neu-6485","ictericus","(Charpentier, 1825)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16806","Neu-6523","baetica","(Rambur, 1842)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16808","Neu-935","simillima","Perkins in Sharp, 1899","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16809","Neu-2586","reticulata","Perkins in Sharp, 1899","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16810","Neu-6260","nigriventris","(Navás, 1913)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16811","Neu-10082","sumatrana","(Stitz, 1913)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16812","Neu-6179","immaculata","(Stitz, 1913)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16813","Neu-965","ceylanica","(Stitz, 1913)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16815","Neu-4085","afasciata","Nasir, 1947","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16818","Neu-6894","distinguendus","Rambur, 1842","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16819","Neu-6787","fulvescens","Perkins in Sharp, 1899","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16820","Neu-6787","rhododora","Perkins in Sharp, 1899","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16821","Neu-6835","andromache","U. Aspöck et al., 1979","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16825","Neu-6894","hyalinus","Olivier, 1811","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16830","Neu-6292","sigillaris","Gerstaecker, 1894","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16849","Neu-6292","candida","(Fabricius, 1798)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16850","Neu-1391","kozlovi","Makarkin, 1984","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16851","Neu-6894","cabrerai","Navás, 1912","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16853","Neu-8103","tropica","(Westwood, 1852)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16854","Neu-2009","reedi","Kimmins, 1954","","valid","Accepted Name",0,0,1,"terrestrial, freshwater","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16856","Neu-8161","langii","(McLachlan, 1870)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16864","Neu-8455","lineatus","(Fabricius, 1798)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16865","Neu-2498","taeniata","Stitz, 1913","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16877","Neu-180","polychroa","(Gerstaecker, 1894)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16886","Neu-9660","stenoptera","Gerstaecker, 1888","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16888","Neu-9329","fallax","(Rambur, 1842)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16889","Neu-9334","uralensis","(Hölzel, 1969)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16892","Neu-711","nigropunctatus","(Pictet, 1865)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16895","Neu-9660","annulicornis","Gerstaecker, 1894","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16898","Neu-726","nanus","Navás, 1911","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16901","Neu-6485","corsicus","(Rambur, 1842)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16902","Neu-10064","bipennis","(Illiger, 1812)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16903","Neu-10082","formosana","(Okamoto, 1910)","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
"Neu-16905","Neu-9660","nigricornis","Enderlein, 1910","","valid","Accepted Name",0,0,1,"terrestrial","","John D. Oswald",7/23/2018 11:19:05,"","",""
