"ID","ReferenceType","ReferenceID"
"Neu-97","NomRef","Neu-Ref-4425"
"Neu-98","NomRef","Neu-Ref-342"
"Neu-99","NomRef","Neu-Ref-191"
"Neu-100","NomRef","Neu-Ref-5533"
"Neu-101","NomRef","Neu-Ref-605"
"Neu-102","NomRef","Neu-Ref-58"
"Neu-104","NomRef","Neu-Ref-1313"
"Neu-105","NomRef","Neu-Ref-63"
"Neu-106","NomRef","Neu-Ref-43"
"Neu-107","NomRef","Neu-Ref-282"
"Neu-109","NomRef","Neu-Ref-116"
"Neu-111","NomRef","Neu-Ref-921"
"Neu-112","NomRef","Neu-Ref-437"
"Neu-113","NomRef","Neu-Ref-3141"
"Neu-114","NomRef","Neu-Ref-4121"
"Neu-115","NomRef","Neu-Ref-969"
"Neu-116","NomRef","Neu-Ref-135"
"Neu-119","NomRef","Neu-Ref-1111"
"Neu-120","NomRef","Neu-Ref-7523"
"Neu-122","NomRef","Neu-Ref-4490"
"Neu-123","NomRef","Neu-Ref-4490"
"Neu-124","NomRef","Neu-Ref-509"
"Neu-126","NomRef","Neu-Ref-5874"
"Neu-128","NomRef","Neu-Ref-1594"
"Neu-131","NomRef","Neu-Ref-3729"
"Neu-134","NomRef","Neu-Ref-1771"
"Neu-135","NomRef","Neu-Ref-1771"
"Neu-136","NomRef","Neu-Ref-860"
"Neu-137","NomRef","Neu-Ref-501"
"Neu-138","NomRef","Neu-Ref-316"
"Neu-139","NomRef","Neu-Ref-4985"
"Neu-141","NomRef","Neu-Ref-777"
"Neu-143","NomRef","Neu-Ref-641"
"Neu-144","NomRef","Neu-Ref-3615"
"Neu-145","NomRef","Neu-Ref-725"
"Neu-146","NomRef","Neu-Ref-763"
"Neu-147","NomRef","Neu-Ref-6050"
"Neu-148","NomRef","Neu-Ref-5323"
"Neu-150","NomRef","Neu-Ref-342"
"Neu-152","NomRef","Neu-Ref-4495"
"Neu-153","NomRef","Neu-Ref-2556"
"Neu-155","NomRef","Neu-Ref-5873"
"Neu-159","NomRef","Neu-Ref-109"
"Neu-161","NomRef","Neu-Ref-975"
"Neu-162","NomRef","Neu-Ref-92"
"Neu-163","NomRef","Neu-Ref-9803"
"Neu-164","NomRef","Neu-Ref-13050"
"Neu-166","NomRef","Neu-Ref-6194"
"Neu-167","NomRef","Neu-Ref-721"
"Neu-171","NomRef","Neu-Ref-98"
"Neu-172","NomRef","Neu-Ref-1848"
"Neu-175","NomRef","Neu-Ref-4528"
"Neu-177","NomRef","Neu-Ref-3732"
"Neu-178","NomRef","Neu-Ref-4528"
"Neu-180","NomRef","Neu-Ref-6194"
"Neu-181","NomRef","Neu-Ref-1141"
"Neu-187","NomRef","Neu-Ref-209"
"Neu-188","NomRef","Neu-Ref-7336"
"Neu-190","NomRef","Neu-Ref-4145"
"Neu-192","NomRef","Neu-Ref-572"
"Neu-193","NomRef","Neu-Ref-116"
"Neu-194","NomRef","Neu-Ref-11084"
"Neu-195","NomRef","Neu-Ref-4127"
"Neu-196","NomRef","Neu-Ref-1198"
"Neu-197","NomRef","Neu-Ref-58"
"Neu-198","NomRef","Neu-Ref-178"
"Neu-199","NomRef","Neu-Ref-2237"
"Neu-200","NomRef","Neu-Ref-6360"
"Neu-203","NomRef","Neu-Ref-957"
"Neu-204","NomRef","Neu-Ref-1432"
"Neu-205","NomRef","Neu-Ref-1432"
"Neu-206","NomRef","Neu-Ref-3260"
"Neu-208","NomRef","Neu-Ref-856"
"Neu-209","NomRef","Neu-Ref-750"
"Neu-210","NomRef","Neu-Ref-360"
"Neu-212","NomRef","Neu-Ref-4121"
"Neu-213","NomRef","Neu-Ref-846"
"Neu-214","NomRef","Neu-Ref-6696"
"Neu-215","NomRef","Neu-Ref-471"
"Neu-216","NomRef","Neu-Ref-6195"
"Neu-217","NomRef","Neu-Ref-1017"
"Neu-219","NomRef","Neu-Ref-2553"
"Neu-220","NomRef","Neu-Ref-4147"
"Neu-221","NomRef","Neu-Ref-4130"
"Neu-223","NomRef","Neu-Ref-1735"
"Neu-224","NomRef","Neu-Ref-4969"
"Neu-225","NomRef","Neu-Ref-4133"
"Neu-226","NomRef","Neu-Ref-2231"
"Neu-227","NomRef","Neu-Ref-2226"
"Neu-228","NomRef","Neu-Ref-5863"
"Neu-234","NomRef","Neu-Ref-4144"
"Neu-235","NomRef","Neu-Ref-836"
"Neu-236","NomRef","Neu-Ref-894"
"Neu-237","NomRef","Neu-Ref-549"
"Neu-238","NomRef","Neu-Ref-316"
"Neu-239","NomRef","Neu-Ref-535"
"Neu-241","NomRef","Neu-Ref-276"
"Neu-242","NomRef","Neu-Ref-2626"
"Neu-243","NomRef","Neu-Ref-2559"
"Neu-244","NomRef","Neu-Ref-825"
"Neu-245","NomRef","Neu-Ref-880"
"Neu-246","NomRef","Neu-Ref-8640"
"Neu-247","NomRef","Neu-Ref-3508"
"Neu-248","NomRef","Neu-Ref-6050"
"Neu-249","NomRef","Neu-Ref-6050"
"Neu-250","NomRef","Neu-Ref-6260"
"Neu-252","NomRef","Neu-Ref-247"
"Neu-254","NomRef","Neu-Ref-91"
"Neu-255","NomRef","Neu-Ref-3730"
"Neu-257","NomRef","Neu-Ref-2235"
"Neu-260","NomRef","Neu-Ref-52"
"Neu-261","NomRef","Neu-Ref-8501"
"Neu-262","NomRef","Neu-Ref-8501"
"Neu-265","NomRef","Neu-Ref-312"
"Neu-266","NomRef","Neu-Ref-5462"
"Neu-267","NomRef","Neu-Ref-612"
"Neu-268","NomRef","Neu-Ref-180"
"Neu-269","NomRef","Neu-Ref-5850"
"Neu-270","NomRef","Neu-Ref-804"
"Neu-271","NomRef","Neu-Ref-906"
"Neu-273","NomRef","Neu-Ref-4495"
"Neu-274","NomRef","Neu-Ref-3143"
"Neu-275","NomRef","Neu-Ref-4127"
"Neu-276","NomRef","Neu-Ref-4121"
"Neu-277","NomRef","Neu-Ref-3323"
"Neu-279","NomRef","Neu-Ref-1158"
"Neu-280","NomRef","Neu-Ref-420"
"Neu-281","NomRef","Neu-Ref-3731"
"Neu-282","NomRef","Neu-Ref-5314"
"Neu-284","NomRef","Neu-Ref-314"
